x	rho	u	p	e
0.8175	0.137905	0.0395285	100006	1.08236e+06
0.8225	0.137903	0.0234487	100004	1.08235e+06
0.8275	0.137902	0.0139149	100002	1.08234e+06
0.8325	0.137901	0.0082581	100001	1.08234e+06
0.8375	0.137901	0.00490032	100001	1.08234e+06
0.8425	0.1379	0.00290694	100000	1.08233e+06
0.8475	0.1379	0.00172369	100000	1.08233e+06
0.8525	0.1379	0.00102154	100000	1.08233e+06
0.8575	0.1379	0.000605076	100000	1.08233e+06
0.8625	0.1379	0.00035818	100000	1.08233e+06
0.8675	0.1379	0.00021189	100000	1.08233e+06
0.8725	0.1379	0.000125261	100000	1.08233e+06
0.8775	0.1379	7.39913e-05	100000	1.08233e+06
0.8825	0.1379	4.36686e-05	100000	1.08233e+06
0.8875	0.1379	2.57478e-05	100000	1.08233e+06
0.8925	0.1379	1.51651e-05	100000	1.08233e+06
0.8975	0.1379	8.92146e-06	100000	1.08233e+06
0.9025	0.1379	5.24158e-06	100000	1.08233e+06
0.9075	0.1379	3.07516e-06	100000	1.08233e+06
0.9125	0.1379	1.80135e-06	100000	1.08233e+06
0.9175	0.1379	1.0534e-06	100000	1.08233e+06
0.9225	0.1379	6.14885e-07	100000	1.08233e+06
0.9275	0.1379	3.58208e-07	100000	1.08233e+06
0.9325	0.1379	2.08235e-07	100000	1.08233e+06
0.9375	0.1379	1.20777e-07	100000	1.08233e+06
0.9425	0.1379	6.98809e-08	100000	1.08233e+06
0.9475	0.1379	4.0328e-08	100000	1.08233e+06
0.9525	0.1379	2.32095e-08	100000	1.08233e+06
0.9575	0.1379	1.33189e-08	100000	1.08233e+06
0.9625	0.1379	7.61958e-09	100000	1.08233e+06
0.9675	0.1379	4.3451e-09	100000	1.08233e+06
0.9725	0.1379	2.46942e-09	100000	1.08233e+06
0.9775	0.1379	1.39838e-09	100000	1.08233e+06
0.9825	0.1379	7.89121e-10	100000	1.08233e+06
0.9875	0.1379	4.44319e-10	100000	1.08233e+06
0.9925	0.1379	2.35569e-10	100000	1.08233e+06
0.9975	0.1379	2.2229e-10	100000	1.08233e+06
