x	rho	u	p	e	rho_E	u_E	p_E	e_E
0.905	0.141587	0.5	1	17.657	0.138	0.5	1	18.1159
0.915	0.140415	0.5	1	17.8044	0.138	0.5	1	18.1159
0.925	0.13961	0.5	1	17.907	0.138	0.5	1	18.1159
0.935	0.139063	0.5	1	17.9775	0.138	0.5	1	18.1159
0.945	0.138693	0.5	1	18.0254	0.138	0.5	1	18.1159
0.955	0.138442	0.5	1	18.0582	0.138	0.5	1	18.1159
0.965	0.138271	0.5	1	18.0804	0.138	0.5	1	18.1159
0.975	0.138166	0.5	1	18.0942	0.138	0.5	1	18.1159
0.985	0.138122	0.5	1	18.1	0.138	0.5	1	18.1159
0.995	0.138114	0.5	1	18.101	0.138	0.5	1	18.1159
