x	rho	u	p	e	rho_Ex	u_Ex	p_Ex	e_Ex
0.5125	0.0119899	0.237702	0.00319653	0.666507	0.0218521	0	0.00189387	0.216669
0.5175	0.0120113	0.248421	0.00320625	0.667338	0.0218521	0	0.00189387	0.216669
0.5225	0.0120377	0.256538	0.0032152	0.667737	0.0218521	0	0.00189387	0.216669
0.5275	0.0121442	0.263042	0.00325002	0.669048	0.0218521	0	0.00189387	0.216669
0.5325	0.0123977	0.267222	0.00333566	0.672638	0.0218521	0	0.00189387	0.216669
0.5375	0.0127177	0.267634	0.00344946	0.678084	0.0218521	0	0.00189387	0.216669
0.5425	0.0129982	0.266508	0.00356028	0.684766	0.0218521	0	0.00189387	0.216669
0.5475	0.013199	0.265587	0.00365752	0.692763	0.0218521	0	0.00189387	0.216669
0.5525	0.0133468	0.265956	0.00374592	0.701651	0.0219395	0.00139044	0.00190448	0.217015
0.5575	0.0135233	0.268848	0.00382574	0.707252	0.0237443	0.0291682	0.00212737	0.223987
0.5625	0.013857	0.27344	0.00388967	0.701751	0.0256659	0.056946	0.00237225	0.23107
0.5675	0.0146767	0.278288	0.00394226	0.671516	0.02771	0.0847238	0.0026409	0.238262
0.5725	0.0164514	0.284134	0.00400195	0.608148	0.0298823	0.112502	0.00293522	0.245565
0.5775	0.0193473	0.291239	0.00407752	0.526884	0.0321888	0.140279	0.00325722	0.252978
0.5825	0.0232421	0.29958	0.00417632	0.449219	0.0346356	0.168057	0.00360903	0.260501
0.5875	0.0278969	0.309572	0.004311	0.386333	0.0372289	0.195835	0.00399293	0.268134
0.5925	0.0329984	0.321945	0.0044995	0.340888	0.0399752	0.223613	0.00441131	0.275878
0.5975	0.0382183	0.337144	0.00475753	0.311208	0.0428814	0.25139	0.00486671	0.283731
0.6025	0.0433268	0.355	0.00509056	0.293731	0.0459541	0.279168	0.00536184	0.291695
0.6075	0.0482659	0.374885	0.00549524	0.284634	0.0492005	0.306946	0.00589953	0.29977
0.6125	0.0530316	0.39586	0.00596035	0.280981	0.0526278	0.334724	0.00648278	0.307954
0.6175	0.0576146	0.417052	0.00647181	0.280823	0.0562435	0.362502	0.00711478	0.316249
0.6225	0.0620268	0.438043	0.0070214	0.282999	0.0600553	0.390279	0.00779888	0.324654
0.6275	0.066321	0.458865	0.00761008	0.286865	0.064071	0.418057	0.00853859	0.333169
0.6325	0.0705727	0.479678	0.00824249	0.291986	0.0682987	0.445835	0.00933765	0.341794
0.6375	0.07486	0.500553	0.00892214	0.297961	0.0727467	0.473613	0.0102	0.35053
0.6425	0.0792835	0.521613	0.00965578	0.30447	0.0774235	0.50139	0.0111297	0.359376
0.6475	0.0839585	0.543087	0.0104558	0.31134	0.0823377	0.529168	0.012131	0.368332
0.6525	0.0889842	0.56523	0.011338	0.318541	0.0874984	0.556946	0.0132087	0.377398
0.6575	0.094433	0.58825	0.0123194	0.326142	0.0929147	0.584724	0.0143674	0.386575
0.6625	0.100349	0.612272	0.0134166	0.33425	0.0985959	0.612502	0.0156121	0.395862
0.6675	0.10675	0.637322	0.0146442	0.342956	0.104552	0.640279	0.0169482	0.405259
0.6725	0.113635	0.66334	0.0160142	0.352317	0.110792	0.668057	0.0183811	0.414766
0.6775	0.120986	0.690212	0.017536	0.362356	0.117327	0.695835	0.0199166	0.424383
0.6825	0.128775	0.717796	0.0192169	0.37307	0.124166	0.723613	0.0215607	0.434111
0.6875	0.136967	0.745951	0.0210628	0.38445	0.131321	0.75139	0.0233199	0.443949
0.6925	0.145523	0.77455	0.0230789	0.396482	0.138801	0.779168	0.0252006	0.453897
0.6975	0.154404	0.80349	0.0252701	0.409154	0.146619	0.806946	0.0272099	0.463956
0.7025	0.163577	0.83269	0.0276414	0.422454	0.154786	0.834724	0.029355	0.474124
0.7075	0.17301	0.862085	0.0301979	0.43636	0.163312	0.862502	0.0316435	0.484403
0.7125	0.182683	0.891629	0.0329445	0.450841	0.17221	0.890279	0.0340832	0.494792
0.7175	0.192588	0.92128	0.0358863	0.465843	0.181491	0.918057	0.0366823	0.505292
0.7225	0.202728	0.951002	0.0390281	0.481287	0.191168	0.945835	0.0394496	0.515901
0.7275	0.21312	0.980759	0.0423742	0.497071	0.201254	0.973613	0.0423939	0.526621
0.7325	0.223795	1.01051	0.0459288	0.513067	0.211761	1.00139	0.0455245	0.537451
0.7375	0.234796	1.04022	0.0496956	0.529137	0.222703	1.02917	0.0488513	0.548391
0.7425	0.246169	1.06985	0.0536783	0.545137	0.234092	1.05695	0.0523843	0.559441
0.7475	0.257967	1.09936	0.0578808	0.560933	0.245942	1.08472	0.0561341	0.570602
0.7525	0.270239	1.12872	0.0623079	0.576414	0.258268	1.1125	0.0601117	0.581873
0.7575	0.283033	1.15791	0.0669655	0.591498	0.271083	1.14028	0.0643284	0.593254
0.7625	0.296388	1.1869	0.0718609	0.606139	0.284401	1.16806	0.0687962	0.604746
0.7675	0.310333	1.2157	0.0770033	0.620327	0.298238	1.19583	0.0735274	0.616347
0.7725	0.324891	1.2443	0.0824031	0.634083	0.312609	1.22361	0.0785347	0.628059
0.7775	0.340071	1.27271	0.0880722	0.647454	0.327528	1.25139	0.0838315	0.639881
0.7825	0.355877	1.30093	0.0940231	0.660503	0.343011	1.27917	0.0894317	0.651813
0.7875	0.372301	1.32898	0.100269	0.673303	0.359074	1.30695	0.0953495	0.663856
0.7925	0.389335	1.35686	0.106821	0.685922	0.375734	1.33472	0.1016	0.676009
0.7975	0.406964	1.38458	0.113694	0.698427	0.393006	1.3625	0.108198	0.688272
0.8025	0.425178	1.41214	0.120898	0.71087	0.410908	1.39028	0.11516	0.700645
0.8075	0.443965	1.43955	0.128447	0.723293	0.429456	1.41806	0.122503	0.713128
0.8125	0.46332	1.46681	0.13635	0.735723	0.448669	1.44583	0.130243	0.725722
0.8175	0.483241	1.49391	0.14462	0.748178	0.468562	1.47361	0.138399	0.738426
0.8225	0.503733	1.52088	0.153269	0.760668	0.489155	1.50139	0.146989	0.75124
0.8275	0.524802	1.5477	0.16231	0.773197	0.510466	1.52917	0.156032	0.764164
0.8325	0.54646	1.57439	0.171756	0.785769	0.532513	1.55695	0.165547	0.777199
0.8375	0.568719	1.60096	0.181623	0.798385	0.555316	1.58472	0.175556	0.790344
0.8425	0.591598	1.62741	0.191926	0.811049	0.578893	1.6125	0.186079	0.803599
0.8475	0.615114	1.65376	0.202683	0.823763	0.603264	1.64028	0.197138	0.816964
0.8525	0.639285	1.68002	0.213913	0.836532	0.628449	1.66806	0.208756	0.830439
0.8575	0.664124	1.70619	0.225631	0.849355	0.654468	1.69583	0.220955	0.844025
0.8625	0.689637	1.73226	0.237851	0.862231	0.681342	1.72361	0.233761	0.857721
0.8675	0.715813	1.75822	0.250577	0.875147	0.709092	1.75139	0.247197	0.871527
0.8725	0.742618	1.78403	0.263802	0.888082	0.737739	1.77917	0.26129	0.885444
0.8775	0.769983	1.80962	0.277502	0.901001	0.767304	1.80695	0.276067	0.89947
0.8825	0.797783	1.83488	0.291619	0.913842	0.797809	1.83472	0.291554	0.913607
0.8875	0.825783	1.85962	0.306036	0.926503	0.829277	1.8625	0.307779	0.927854
0.8925	0.853634	1.88356	0.320571	0.938842	0.86173	1.89028	0.324773	0.942212
0.8975	0.880977	1.90647	0.335024	0.950716	0.895191	1.91806	0.342564	0.956679
0.9025	0.907234	1.92793	0.34907	0.961908	0.929684	1.94583	0.361185	0.971257
0.9075	0.931593	1.94739	0.362246	0.972115	0.965232	1.97361	0.380666	0.985945
0.9125	0.953056	1.96421	0.373971	0.980979	1	2	0.4	1
0.9175	0.970625	1.97776	0.38365	0.988152	1	2	0.4	1
0.9225	0.983633	1.98767	0.390864	0.99342	1	2	0.4	1
0.9275	0.992088	1.99406	0.395576	0.996826	1	2	0.4	1
0.9325	0.99677	1.99758	0.398192	0.998706	1	2	0.4	1
0.9375	0.998917	1.99919	0.399393	0.999566	1	2	0.4	1
0.9425	0.99971	1.99978	0.399838	0.999884	1	2	0.4	1
0.9475	0.999941	1.99996	0.399967	0.999976	1	2	0.4	1
0.9525	0.999991	1.99999	0.399995	0.999996	1	2	0.4	1
0.9575	0.999999	2	0.4	1	1	2	0.4	1
0.9625	1	2	0.4	1	1	2	0.4	1
0.9675	1	2	0.4	1	1	2	0.4	1
0.9725	1	2	0.4	1	1	2	0.4	1
0.9775	1	2	0.4	1	1	2	0.4	1
0.9825	1	2	0.4	1	1	2	0.4	1
0.9875	1	2	0.4	1	1	2	0.4	1
0.9925	1	2	0.4	1	1	2	0.4	1
0.9975	1	2	0.4	1	1	2	0.4	1
