x	rho	u	p	e	rho_Ex	u_Ex	p_Ex	e_Ex
0.005	1	-8.4795e-15	0.01	0.025	1	0	0.01	0.025
0.015	1	-5.24463e-13	0.01	0.025	1	0	0.01	0.025
0.025	1	6.55169e-13	0.01	0.025	1	0	0.01	0.025
0.035	1	7.0219e-12	0.01	0.025	1	0	0.01	0.025
0.045	1	2.29691e-11	0.01	0.025	1	0	0.01	0.025
0.055	1	-1.94395e-10	0.01	0.025	1	0	0.01	0.025
0.065	1	-8.44335e-10	0.01	0.025	1	0	0.01	0.025
0.075	1	4.42571e-09	0.01	0.025	1	0	0.01	0.025
0.085	1	2.62927e-08	0.00999997	0.0249999	1	0	0.01	0.025
0.095	1	-2.68975e-08	0.01	0.025	1	0	0.01	0.025
0.105	1	-6.4552e-07	0.0100008	0.0250019	1	0	0.01	0.025
0.115	1	-2.50781e-06	0.010004	0.0250099	1	0	0.01	0.025
0.125	0.999997	1.45613e-05	0.00998301	0.0249576	1	0	0.01	0.025
0.135	0.999996	7.67492e-05	0.00987947	0.0246988	1	0	0.01	0.025
0.145	1.00008	-0.000208801	0.0101977	0.0254922	1	0	0.01	0.025
0.155	1.00022	-0.00175871	0.0127801	0.0319433	1	0	0.01	0.025
0.165	0.999498	-0.00539206	0.0228883	0.0572495	1	0	0.01	0.025
0.175	0.992175	0.0370541	-0.0471309	-0.118756	1	0	0.01	0.025
0.185	0.992777	0.164945	-0.392403	-0.988144	1	0	0.01	0.025
0.195	1.1121	0.0387379	-0.823549	-1.85134	1	0	0.01	0.025
0.205	2.14777	-2.98039	9.8421	11.4562	1	0	0.01	0.025
0.215	3.84318	-5.03198	27.1565	17.6654	1	0	0.01	0.025
0.225	4.909	-5.81582	38.8195	19.7696	1	0	0.01	0.025
0.235	5.2434	-6.07933	43.4536	20.7183	1	0	0.01	0.025
0.245	5.30947	-6.16696	44.9883	21.183	5.99242	-6.19633	46.095	19.2306
0.255	5.31471	-6.20138	45.5659	21.4339	5.99242	-6.19633	46.095	19.2306
0.265	5.31597	-6.21795	45.8342	21.5549	5.99242	-6.19633	46.095	19.2306
0.275	5.31931	-6.22254	45.9116	21.5778	5.99242	-6.19633	46.095	19.2306
0.285	0.567789	-6.22375	45.9268	202.218	0.575113	-6.19633	46.095	200.374
0.295	0.567746	-6.22488	45.92	202.203	0.575113	-6.19633	46.095	200.374
0.305	0.567728	-6.22625	45.9119	202.174	0.575113	-6.19633	46.095	200.374
0.315	0.567843	-6.22728	45.9058	202.106	0.575113	-6.19633	46.095	200.374
0.325	0.568382	-6.22861	45.8978	201.879	0.575113	-6.19633	46.095	200.374
