x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.005	1	0	0.01	0.025	1	0	0.01	0.025
0.015	1	0	0.01	0.025	1	0	0.01	0.025
0.025	1	0	0.01	0.025	1	0	0.01	0.025
0.035	1	0	0.01	0.025	1	0	0.01	0.025
0.045	1	0	0.01	0.025	1	0	0.01	0.025
0.055	1	0	0.01	0.025	1	0	0.01	0.025
0.065	1	0	0.01	0.025	1	0	0.01	0.025
0.075	1	0	0.01	0.025	1	0	0.01	0.025
0.085	1	0	0.01	0.025	1	0	0.01	0.025
0.095	1	0	0.01	0.025	1	0	0.01	0.025
0.105	1	0	0.01	0.025	1	0	0.01	0.025
0.115	1	0	0.01	0.025	1	0	0.01	0.025
0.125	1	0	0.01	0.025	1	0	0.01	0.025
0.135	1	0	0.01	0.025	1	0	0.01	0.025
0.145	1	0	0.01	0.025	1	0	0.01	0.025
0.155	1	-3.17585e-20	0.01	0.025	1	0	0.01	0.025
0.165	1	-4.98012e-16	0.01	0.025	1	0	0.01	0.025
0.175	1	-6.03796e-12	0.01	0.025	1	0	0.01	0.025
0.185	1	-8.28583e-08	0.01	0.025	1	0	0.01	0.025
0.195	1.00241	-0.000943768	0.0101565	0.0253303	1	0	0.01	0.025
0.205	1.12595	-0.288355	0.355361	0.789025	1	0	0.01	0.025
0.215	2.48608	-3.22147	11.0772	11.1392	1	0	0.01	0.025
0.225	4.95616	-5.60867	35.5488	17.9316	1	0	0.01	0.025
0.235	5.55521	-6.10809	44.165	19.8755	1	0	0.01	0.025
0.245	5.55374	-6.18479	45.7028	20.573	5.99242	-6.19633	46.095	19.2306
0.255	5.49751	-6.20767	46.0245	20.9297	5.99242	-6.19633	46.095	19.2306
0.265	5.45001	-6.21042	46.0158	21.1081	5.99242	-6.19633	46.095	19.2306
0.275	5.44946	-6.21007	46.0092	21.1072	5.99242	-6.19633	46.095	19.2306
0.285	0.564739	-6.21008	46.0092	203.675	0.575113	-6.19633	46.095	200.374
0.295	0.564733	-6.21037	46.0071	203.668	0.575113	-6.19633	46.095	200.374
0.305	0.564923	-6.211	46.004	203.585	0.575113	-6.19633	46.095	200.374
0.315	0.56607	-6.21171	45.9995	203.153	0.575113	-6.19633	46.095	200.374
0.325	0.568439	-6.21242	45.9953	202.288	0.575113	-6.19633	46.095	200.374
0.335	0.570562	-6.21303	45.9917	201.519	0.575113	-6.19633	46.095	200.374
0.345	0.57185	-6.21376	45.9874	201.047	0.575113	-6.19633	46.095	200.374
0.355	0.572557	-6.21466	45.9816	200.773	0.575113	-6.19633	46.095	200.374
0.365	0.572966	-6.21486	45.9802	200.623	0.575113	-6.19633	46.095	200.374
0.375	0.573187	-6.21538	45.9773	200.533	0.575113	-6.19633	46.095	200.374
0.385	0.573302	-6.2165	45.9707	200.465	0.575113	-6.19633	46.095	200.374
0.395	0.573339	-6.21842	45.959	200.401	0.575113	-6.19633	46.095	200.374
0.405	0.573327	-6.22081	45.9441	200.34	0.575113	-6.19633	46.095	200.374
0.415	0.57327	-6.2233	45.9291	200.294	0.575113	-6.19633	46.095	200.374
0.425	0.573172	-6.22579	45.9141	200.263	0.575113	-6.19633	46.095	200.374
0.435	0.573046	-6.22831	45.8994	200.243	0.575113	-6.19633	46.095	200.374
0.445	0.572918	-6.23083	45.884	200.22	0.575113	-6.19633	46.095	200.374
0.455	0.572812	-6.23353	45.8678	200.187	0.575113	-6.19633	46.095	200.374
0.465	0.572701	-6.23653	45.8497	200.147	0.575113	-6.19633	46.095	200.374
0.475	0.572552	-6.23989	45.8291	200.109	0.575113	-6.19633	46.095	200.374
0.485	0.572357	-6.24364	45.8065	200.079	0.575113	-6.19633	46.095	200.374
0.495	0.572127	-6.24785	45.7809	200.047	0.575113	-6.19633	46.095	200.374
0.505	0.571882	-6.25266	45.7517	200.005	0.575113	-6.19633	46.095	200.374
0.515	0.5716	-6.25824	45.7179	199.956	0.575113	-6.19633	46.095	200.374
0.525	0.571259	-6.26467	45.679	199.905	0.575113	-6.19633	46.095	200.374
0.535	0.570865	-6.27207	45.6343	199.847	0.575113	-6.19633	46.095	200.374
0.545	0.570419	-6.28062	45.5829	199.778	0.575113	-6.19633	46.095	200.374
0.555	0.569898	-6.29057	45.523	199.698	0.575113	-6.19633	46.095	200.374
0.565	0.569272	-6.30237	45.4521	199.606	0.575113	-6.19633	46.095	200.374
0.575	0.568487	-6.31713	45.3634	199.492	0.575113	-6.19633	46.095	200.374
0.585	0.56738	-6.33783	45.2392	199.334	0.575113	-6.19633	46.095	200.374
0.595	0.566295	-6.35815	45.1176	199.179	0.575113	-6.19633	46.095	200.374
0.605	0.565979	-6.36409	45.0821	199.133	0.575113	-6.19633	46.095	200.374
0.615	0.566156	-6.36082	45.1015	199.157	0.575113	-6.19633	46.095	200.374
0.625	0.567156	-6.3422	45.2129	199.296	0.575113	-6.19633	46.095	200.374
0.635	0.56968	-6.29529	45.4945	199.649	0.575113	-6.19633	46.095	200.374
0.645	0.574241	-6.21095	46.0047	200.285	0.575113	-6.19633	46.095	200.374
0.655	0.580993	-6.08709	46.7631	201.22	0.576562	-6.16966	46.2578	200.576
0.665	0.589737	-5.92839	47.7506	202.423	0.589632	-5.93156	47.7324	202.382
0.675	0.600072	-5.74318	48.9256	203.832	0.602938	-5.69347	49.2472	204.197
0.685	0.611577	-5.53996	50.2434	205.385	0.616482	-5.45537	50.803	206.019
0.695	0.623906	-5.32551	51.667	207.031	0.63027	-5.21728	52.4007	207.85
0.705	0.636822	-5.10443	53.1707	208.734	0.644302	-4.97918	54.0413	209.689
0.715	0.65018	-4.87954	54.7385	210.474	0.658584	-4.74109	55.7257	211.536
0.725	0.663899	-4.65244	56.3617	212.237	0.673118	-4.50299	57.4549	213.391
0.735	0.677931	-4.42402	58.0358	214.018	0.687907	-4.26489	59.23	215.254
0.745	0.692251	-4.19475	59.7589	215.814	0.702955	-4.0268	61.0518	217.126
0.755	0.70685	-3.96488	61.5305	217.622	0.718265	-3.7887	62.9214	219.005
0.765	0.721722	-3.73456	63.3505	219.442	0.733841	-3.55061	64.8399	220.892
0.775	0.736867	-3.50388	65.2194	221.273	0.749685	-3.31251	66.8083	222.788
0.785	0.75229	-3.27291	67.138	223.112	0.765803	-3.07442	68.8278	224.692
0.795	0.767986	-3.04169	69.1067	224.961	0.782196	-2.83632	70.8993	226.603
0.805	0.783954	-2.81029	71.1263	226.819	0.798869	-2.59823	73.024	228.523
0.815	0.800191	-2.57878	73.1972	228.687	0.815825	-2.36013	75.2031	230.451
0.825	0.816697	-2.34722	75.3198	230.562	0.833068	-2.12204	77.4377	232.387
0.835	0.833473	-2.11576	77.4943	232.444	0.850601	-1.88394	79.7289	234.331
0.845	0.850504	-1.88457	79.7197	234.331	0.868428	-1.64585	82.0781	236.284
0.855	0.867763	-1.65398	81.9939	236.222	0.886552	-1.40775	84.4863	238.244
0.865	0.885204	-1.42459	84.3114	238.113	0.904978	-1.16966	86.9548	240.212
0.875	0.902531	-1.20027	86.63	239.964	0.923709	-0.931562	89.4848	242.189
0.885	0.91917	-0.988239	88.8735	241.722	0.942749	-0.693466	92.0778	244.173
0.895	0.934935	-0.790191	91.0139	243.37	0.962102	-0.455371	94.7348	246.166
0.905	0.949544	-0.609035	93.0104	244.882	0.981771	-0.217276	97.4573	248.167
0.915	0.962621	-0.448775	94.8079	246.223	1	0	100	250
0.925	0.973782	-0.313365	96.3498	247.36	1	0	100	250
0.935	0.982746	-0.205487	97.5934	248.267	1	0	100	250
0.945	0.989438	-0.125462	98.5248	248.941	1	0	100	250
0.955	0.994029	-0.070802	99.1652	249.402	1	0	100	250
