x	rho	u	p	e
0.39875	1.30398	120.545	145421	278802
0.40125	1.30398	120.544	145422	278804
0.40375	1.30398	120.543	145422	278805
0.40625	1.30398	120.542	145423	278806
0.40875	1.30398	120.541	145423	278806
0.41125	1.30398	120.539	145423	278807
0.41375	1.30398	120.538	145424	278808
0.41625	1.30397	120.537	145424	278809
0.41875	1.30397	120.537	145424	278810
0.42125	1.30397	120.537	145425	278811
0.42375	1.30397	120.537	145425	278811
0.42625	1.30397	120.536	145425	278812
0.42875	1.30397	120.536	145425	278813
0.43125	1.30396	120.535	145426	278814
0.43375	1.30396	120.535	145426	278816
0.43625	1.30395	120.534	145426	278817
0.43875	1.30395	120.534	145426	278819
0.44125	1.30395	120.533	145426	278820
0.44375	1.30394	120.532	145427	278821
0.44625	1.30394	120.529	145428	278824
0.44875	1.30397	120.517	145434	278829
0.45125	1.30409	120.477	145455	278843
0.45375	1.30452	120.344	145524	278883
0.45625	1.30576	119.965	145719	278993
0.45875	1.30884	119.028	146203	279261
0.46125	1.3151	117.132	147187	279802
0.46375	1.32153	115.196	148199	280355
0.46625	1.32514	114.101	148773	280673
0.46875	1.32669	113.62	149025	280821
0.47125	1.32715	113.453	149112	280887
0.47375	1.32713	113.41	149138	280940
0.47625	1.32698	113.397	149140	280976
0.47875	1.32683	113.395	149142	281012
0.48125	1.32677	113.392	149144	281027
0.48375	1.32677	113.391	149145	281029
0.48625	1.32677	113.39	149145	281029
0.48875	0.175182	113.39	149145	1.27071e+06
0.49125	0.175182	113.389	149145	1.27071e+06
0.49375	0.175182	113.388	149145	1.27071e+06
0.49625	0.175182	113.387	149145	1.2707e+06
0.49875	0.175183	113.386	149145	1.2707e+06
0.50125	0.175183	113.385	149145	1.27069e+06
0.50375	0.175183	113.384	149145	1.27069e+06
0.50625	0.175183	113.383	149145	1.2707e+06
0.50875	0.175182	113.382	149145	1.2707e+06
0.51125	0.175182	113.381	149145	1.27071e+06
0.51375	0.175181	113.379	149145	1.27071e+06
0.51625	0.175181	113.378	149145	1.27072e+06
0.51875	0.17518	113.376	149145	1.27072e+06
0.52125	0.175179	113.375	149145	1.27072e+06
0.52375	0.175179	113.373	149145	1.27073e+06
0.52625	0.175178	113.372	149145	1.27073e+06
0.52875	0.175176	113.37	149145	1.27074e+06
0.53125	0.175175	113.367	149144	1.27075e+06
0.53375	0.175174	113.363	149143	1.27075e+06
0.53625	0.175172	113.356	149142	1.27075e+06
0.53875	0.175169	113.345	149140	1.27075e+06
0.54125	0.175165	113.32	149135	1.27074e+06
