x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.005	999.389	1.62046	9.95706e+08	1.06998e+06	1000	0	1e+09	1.07059e+06
0.015	998.829	3.10733	9.91771e+08	1.06942e+06	1000	0	1e+09	1.07059e+06
0.025	998.161	4.87502	9.871e+08	1.06876e+06	1000	0	1e+09	1.07059e+06
0.035	997.135	7.59394	9.79936e+08	1.06775e+06	1000	0	1e+09	1.07059e+06
0.045	995.725	11.3256	9.70136e+08	1.06636e+06	1000	0	1e+09	1.07059e+06
0.055	993.844	16.2995	9.57134e+08	1.06453e+06	1000	0	1e+09	1.07059e+06
0.065	991.444	22.6343	9.40672e+08	1.06223e+06	1000	0	1e+09	1.07059e+06
0.075	988.499	30.3932	9.20658e+08	1.05944e+06	997.058	7.79848	9.7939e+08	1.06767e+06
0.085	985.014	39.5569	8.97226e+08	1.05619e+06	991.155	23.397	9.38658e+08	1.06194e+06
0.095	981.016	50.0403	8.70693e+08	1.05254e+06	985.227	38.9954	8.98576e+08	1.05636e+06
0.105	976.549	61.7165	8.41482e+08	1.04855e+06	979.273	54.5939	8.59142e+08	1.05094e+06
0.115	971.662	74.4498	8.10033e+08	1.04431e+06	973.295	70.1924	8.20351e+08	1.04568e+06
0.125	966.39	88.1356	7.76703e+08	1.03986e+06	967.291	85.7909	7.82199e+08	1.04057e+06
0.135	960.793	102.586	7.4198e+08	1.03529e+06	961.26	101.389	7.44683e+08	1.03561e+06
0.145	955.124	117.143	7.07477e+08	1.03081e+06	955.203	116.988	7.07799e+08	1.03082e+06
0.155	949.473	131.638	6.7379e+08	1.02651e+06	949.119	132.586	6.71542e+08	1.0262e+06
0.165	943.834	146.033	6.40847e+08	1.02238e+06	943.007	148.185	6.35908e+08	1.02173e+06
0.175	938.21	160.33	6.08653e+08	1.01841e+06	936.868	163.783	6.00894e+08	1.01744e+06
0.185	932.601	174.529	5.77195e+08	1.01462e+06	930.7	179.382	5.66495e+08	1.01331e+06
0.195	927.008	188.63	5.46455e+08	1.01099e+06	924.504	194.98	5.32708e+08	1.00935e+06
0.205	921.428	202.638	5.16412e+08	1.00752e+06	918.278	210.579	4.99528e+08	1.00557e+06
0.215	915.859	216.559	4.87039e+08	1.00421e+06	912.023	226.177	4.66952e+08	1.00196e+06
0.225	910.299	230.398	4.58311e+08	1.00106e+06	905.737	241.776	4.34974e+08	998528
0.235	904.744	244.166	4.302e+08	998073	899.421	257.374	4.03592e+08	995278
0.245	899.191	257.87	4.02678e+08	995234	893.074	272.973	3.72801e+08	992211
0.255	893.636	271.519	3.7572e+08	992548	886.694	288.571	3.42596e+08	989331
0.265	888.075	285.121	3.49303e+08	990013	880.283	304.17	3.12973e+08	986639
0.275	882.508	298.682	3.23406e+08	987629	873.839	319.768	2.83929e+08	984140
0.285	876.93	312.207	2.98016e+08	985395	867.361	335.367	2.55459e+08	981835
0.295	871.344	325.695	2.73127e+08	983312	860.849	350.965	2.27559e+08	979730
0.305	865.75	339.139	2.48745e+08	981381	854.303	366.564	2.00224e+08	977827
0.315	860.156	352.522	2.24892e+08	979607	847.721	382.162	1.73451e+08	976130
0.325	854.573	365.817	2.01608e+08	977993	841.103	397.761	1.47235e+08	974642
0.335	849.02	378.98	1.78956e+08	976543	834.449	413.359	1.21571e+08	973369
0.345	843.525	391.945	1.57036e+08	975261	827.757	428.958	9.64548e+07	972314
0.355	838.133	404.611	1.35991e+08	974151	821.027	444.556	7.18828e+07	971481
0.365	832.901	416.842	1.16014e+08	973215	814.259	460.154	4.78502e+07	970876
0.375	827.909	428.463	9.73482e+07	972452	807.45	475.753	2.43525e+07	970503
0.385	823.25	439.263	8.0272e+07	971855	804.445	482.61	1.41905e+07	970414
0.395	819.025	449.019	6.50701e+07	971410	804.445	482.61	1.41905e+07	970414
0.405	815.326	457.528	5.19833e+07	971096	804.445	482.61	1.41905e+07	970414
0.415	812.22	464.65	4.1152e+07	970887	804.445	482.61	1.41905e+07	970414
0.425	809.729	470.345	3.25699e+07	970757	804.445	482.61	1.41905e+07	970414
0.435	807.823	474.692	2.60693e+07	970680	804.445	482.61	1.41905e+07	970414
0.445	806.428	477.865	2.13494e+07	970638	804.445	482.61	1.41905e+07	970414
0.455	805.442	480.102	1.80383e+07	970617	804.445	482.61	1.41905e+07	970414
0.465	804.761	481.642	1.57659e+07	970608	804.445	482.61	1.41905e+07	970414
0.475	804.293	482.693	1.42181e+07	970607	804.445	482.61	1.41905e+07	970414
0.485	803.97	483.413	1.31616e+07	970610	804.445	482.61	1.41905e+07	970414
0.495	803.746	483.906	1.24389e+07	970616	804.445	482.61	1.41905e+07	970414
0.505	803.591	484.241	1.19502e+07	970624	804.445	482.61	1.41905e+07	970414
0.515	803.486	484.46	1.16315e+07	970635	804.445	482.61	1.41905e+07	970414
0.525	803.418	484.593	1.14382e+07	970647	804.445	482.61	1.41905e+07	970414
0.535	803.374	484.665	1.13357e+07	970662	804.445	482.61	1.41905e+07	970414
0.545	803.351	484.697	1.1293e+07	970674	804.445	482.61	1.41905e+07	970414
0.555	803.33	484.704	1.12882e+07	970698	804.445	482.61	1.41905e+07	970414
0.565	803.327	484.685	1.13201e+07	970713	804.445	482.61	1.41905e+07	970414
0.575	803.336	484.63	1.14073e+07	970735	804.445	482.61	1.41905e+07	970414
0.585	803.342	484.572	1.14979e+07	970760	804.445	482.61	1.41905e+07	970414
0.595	803.346	484.523	1.15766e+07	970784	804.445	482.61	1.41905e+07	970414
0.605	803.343	484.478	1.16467e+07	970813	804.445	482.61	1.41905e+07	970414
0.615	803.339	484.428	1.17243e+07	970846	804.445	482.61	1.41905e+07	970414
0.625	803.34	484.364	1.18238e+07	970882	804.445	482.61	1.41905e+07	970414
0.635	803.346	484.283	1.19487e+07	970921	804.445	482.61	1.41905e+07	970414
0.645	803.342	484.209	1.20661e+07	970968	804.445	482.61	1.41905e+07	970414
0.655	803.329	484.149	1.21621e+07	971019	804.445	482.61	1.41905e+07	970414
0.665	803.305	484.096	1.2246e+07	971078	804.445	482.61	1.41905e+07	970414
0.675	803.271	484.047	1.23221e+07	971148	804.445	482.61	1.41905e+07	970414
0.685	803.226	484	1.23971e+07	971229	804.445	482.61	1.41905e+07	970414
0.695	803.174	483.947	1.2482e+07	971324	804.445	482.61	1.41905e+07	970414
0.705	803.112	483.884	1.25835e+07	971435	804.445	482.61	1.41905e+07	970414
0.715	803.033	483.81	1.27022e+07	971574	804.445	482.61	1.41905e+07	970414
0.725	802.9	483.748	1.28031e+07	971773	804.445	482.61	1.41905e+07	970414
0.735	802.607	483.733	1.28316e+07	972138	804.445	482.61	1.41905e+07	970414
0.745	802.41	483.718	1.28712e+07	972392	804.445	482.61	1.41905e+07	970414
0.755	802.585	483.661	1.29621e+07	972212	804.445	482.61	1.41905e+07	970414
0.765	803.584	483.633	1.30121e+07	971022	804.445	482.61	1.41905e+07	970414
0.775	806.34	483.571	1.31113e+07	967740	804.445	482.61	1.41905e+07	970414
0.785	808.156	483.505	1.3219e+07	965603	804.445	482.61	1.41905e+07	970414
0.795	808.711	483.476	1.3274e+07	964961	804.445	482.61	1.41905e+07	970414
0.805	808.888	483.486	1.32845e+07	964754	804.445	482.61	1.41905e+07	970414
0.815	199.104	483.472	1.32496e+07	166365	288.168	482.61	1.41905e+07	123109
0.825	198.761	480.432	1.32175e+07	166249	288.168	482.61	1.41905e+07	123109
0.835	200.994	477.793	1.32175e+07	164402	288.168	482.61	1.41905e+07	123109
0.845	206.588	471.479	1.30499e+07	157922	50	0	100000	5000
0.855	210.523	458.39	1.22485e+07	145454	50	0	100000	5000
0.865	198.71	411.268	9.60353e+06	120824	50	0	100000	5000
