x	rho	u	p	e	rho_Ex	u_Ex	p_Ex	e_Ex
0.005	1	8.05192e-13	1	2.5	1	0	1	2.5
0.015	1	6.98843e-12	1	2.5	1	0	1	2.5
0.025	1	4.3523e-11	1	2.5	1	0	1	2.5
0.035	1	2.40775e-10	1	2.5	1	0	1	2.5
0.045	1	1.22217e-09	1	2.5	1	0	1	2.5
0.055	1	5.72568e-09	1	2.5	1	0	1	2.5
0.065	1	2.48711e-08	1	2.5	1	0	1	2.5
0.075	1	1.00589e-07	1	2.5	1	0	1	2.5
0.085	1	3.80214e-07	1	2.5	1	0	1	2.5
0.095	0.999999	1.34771e-06	0.999998	2.5	1	0	1	2.5
0.105	0.999996	4.49364e-06	0.999995	2.5	1	0	1	2.5
0.115	0.999988	1.41351e-05	0.999983	2.49999	1	0	1	2.5
0.125	0.999964	4.20671e-05	0.99995	2.49996	1	0	1	2.5
0.135	0.9999	0.000118792	0.999859	2.4999	1	0	1	2.5
0.145	0.99973	0.000319239	0.999622	2.49973	1	0	1	2.5
0.155	0.999308	0.000819221	0.999031	2.49931	1	0	1	2.5
0.165	0.998295	0.00201952	0.997613	2.49829	1	0	1	2.5
0.175	0.995968	0.00478197	0.994356	2.49595	1	0	1	2.5
0.185	0.990574	0.0111995	0.986823	2.49053	1	0	1	2.5
0.195	0.980963	0.022691	0.973452	2.48086	1	0	1	2.5
0.205	0.967181	0.0393197	0.954377	2.4669	0.997737	0.00267996	0.996833	2.49774
0.215	0.949899	0.0604392	0.930613	2.44924	0.969932	0.0360133	0.958159	2.46966
0.225	0.930023	0.0851163	0.903493	2.42868	0.942749	0.0693466	0.920778	2.44173
0.235	0.908401	0.112454	0.874246	2.406	0.91618	0.10268	0.884653	2.41397
0.245	0.885678	0.141757	0.843802	2.3818	0.890213	0.136013	0.849751	2.38637
0.255	0.8623	0.172543	0.812803	2.3565	0.864839	0.169347	0.816036	2.35892
0.265	0.838677	0.204344	0.781815	2.3305	0.840046	0.20268	0.783473	2.33164
0.275	0.815226	0.236638	0.75139	2.30424	0.815825	0.236013	0.752031	2.30451
0.285	0.792153	0.269147	0.721794	2.27795	0.792166	0.269347	0.721677	2.27754
0.295	0.769513	0.301791	0.693086	2.2517	0.769059	0.30268	0.692379	2.25073
0.305	0.747337	0.334522	0.66529	2.22554	0.746495	0.336013	0.664106	2.22408
0.315	0.725641	0.367304	0.638415	2.19949	0.724463	0.369347	0.636829	2.19759
0.325	0.704437	0.40011	0.612457	2.17357	0.702955	0.40268	0.610518	2.17126
0.335	0.683731	0.432915	0.587409	2.14781	0.68196	0.436013	0.585144	2.14508
0.345	0.663528	0.465699	0.56326	2.12222	0.66147	0.469347	0.560679	2.11906
0.355	0.64383	0.498442	0.539996	2.09681	0.641476	0.50268	0.537097	2.09321
0.365	0.624639	0.531121	0.517604	2.07161	0.621968	0.536013	0.51437	2.06751
0.375	0.60596	0.563709	0.496071	2.04663	0.602938	0.569347	0.492472	2.04197
0.385	0.587798	0.596174	0.475388	2.0219	0.584376	0.60268	0.471378	2.01659
0.395	0.570165	0.628469	0.455551	1.99745	0.566274	0.636013	0.451063	1.99136
0.405	0.553083	0.660526	0.436567	1.97333	0.548624	0.669347	0.431504	1.9663
0.415	0.536587	0.692242	0.418456	1.94962	0.531417	0.70268	0.412676	1.9414
0.425	0.520737	0.723457	0.401264	1.92642	0.514644	0.736013	0.394556	1.91665
0.435	0.505623	0.753938	0.385064	1.90391	0.498297	0.769347	0.377123	1.89206
0.445	0.491372	0.783349	0.369969	1.88232	0.482368	0.80268	0.360355	1.86763
0.455	0.478156	0.811238	0.356126	1.86197	0.466849	0.836013	0.344229	1.84336
0.465	0.466179	0.837049	0.343714	1.84325	0.451733	0.869347	0.328726	1.81925
0.475	0.455656	0.860166	0.332914	1.82656	0.43701	0.90268	0.313826	1.7953
0.485	0.44677	0.880018	0.323874	1.81231	0.426319	0.927453	0.30313	1.7776
0.495	0.439624	0.896207	0.316658	1.80073	0.426319	0.927453	0.30313	1.7776
0.505	0.434203	0.908621	0.311219	1.7919	0.426319	0.927453	0.30313	1.7776
0.515	0.430364	0.917475	0.307389	1.78563	0.426319	0.927453	0.30313	1.7776
0.525	0.427864	0.923261	0.304907	1.78157	0.426319	0.927453	0.30313	1.7776
0.535	0.426398	0.926646	0.303463	1.77922	0.426319	0.927453	0.30313	1.7776
0.545	0.425651	0.928348	0.302739	1.77809	0.426319	0.927453	0.30313	1.7776
0.555	0.425339	0.929018	0.302454	1.77772	0.426319	0.927453	0.30313	1.7776
0.565	0.425252	0.929159	0.302394	1.77773	0.426319	0.927453	0.30313	1.7776
0.575	0.425283	0.928994	0.302463	1.77801	0.426319	0.927453	0.30313	1.7776
0.585	0.425326	0.928703	0.302585	1.77855	0.426319	0.927453	0.30313	1.7776
0.595	0.425336	0.928489	0.302675	1.77904	0.426319	0.927453	0.30313	1.7776
0.605	0.425341	0.928264	0.30277	1.77957	0.426319	0.927453	0.30313	1.7776
0.615	0.42532	0.928032	0.302867	1.78023	0.426319	0.927453	0.30313	1.7776
0.625	0.425241	0.927852	0.302942	1.781	0.426319	0.927453	0.30313	1.7776
0.635	0.424909	0.927688	0.30301	1.78279	0.426319	0.927453	0.30313	1.7776
0.645	0.424171	0.927579	0.303054	1.78616	0.426319	0.927453	0.30313	1.7776
0.655	0.423201	0.927512	0.30308	1.7904	0.426319	0.927453	0.30313	1.7776
0.665	0.422296	0.927461	0.303099	1.79435	0.426319	0.927453	0.30313	1.7776
0.675	0.421583	0.92742	0.303113	1.79747	0.426319	0.927453	0.30313	1.7776
0.685	0.421094	0.927389	0.303123	1.79961	0.426319	0.927453	0.30313	1.7776
0.695	0.420814	0.927364	0.303129	1.80085	0.426319	0.927453	0.30313	1.7776
0.705	0.420697	0.927347	0.303133	1.80137	0.426319	0.927453	0.30313	1.7776
0.715	0.420678	0.927333	0.303135	1.80147	0.426319	0.927453	0.30313	1.7776
0.725	0.42068	0.927319	0.303137	1.80147	0.426319	0.927453	0.30313	1.7776
0.735	0.25752	0.927311	0.303137	2.94285	0.265574	0.927453	0.30313	2.85354
0.745	0.257601	0.927304	0.303138	2.94193	0.265574	0.927453	0.30313	2.85354
0.755	0.258184	0.927299	0.303137	2.93529	0.265574	0.927453	0.30313	2.85354
0.765	0.259668	0.9273	0.303136	2.91849	0.265574	0.927453	0.30313	2.85354
0.775	0.261442	0.927301	0.303136	2.89869	0.265574	0.927453	0.30313	2.85354
0.785	0.262821	0.927302	0.303136	2.88349	0.265574	0.927453	0.30313	2.85354
0.795	0.263814	0.927315	0.303135	2.87262	0.265574	0.927453	0.30313	2.85354
0.805	0.264492	0.92734	0.303131	2.86521	0.265574	0.927453	0.30313	2.85354
0.815	0.264942	0.927362	0.30313	2.86034	0.265574	0.927453	0.30313	2.85354
0.825	0.265236	0.927379	0.303136	2.85723	0.265574	0.927453	0.30313	2.85354
0.835	0.265421	0.927413	0.30314	2.85528	0.265574	0.927453	0.30313	2.85354
0.845	0.265527	0.927473	0.303137	2.85411	0.265574	0.927453	0.30313	2.85354
0.855	0.265595	0.927508	0.303146	2.85347	0.265574	0.927453	0.30313	2.85354
0.865	0.265645	0.927514	0.303174	2.85319	0.265574	0.927453	0.30313	2.85354
0.875	0.265667	0.927556	0.303193	2.85313	0.265574	0.927453	0.30313	2.85354
0.885	0.265649	0.927721	0.303169	2.8531	0.265574	0.927453	0.30313	2.85354
0.895	0.265654	0.92776	0.303197	2.8533	0.265574	0.927453	0.30313	2.85354
0.905	0.265673	0.927752	0.303245	2.85355	0.265574	0.927453	0.30313	2.85354
0.915	0.265705	0.927515	0.303307	2.8538	0.265574	0.927453	0.30313	2.85354
0.925	0.265345	0.926771	0.3028	2.85289	0.265574	0.927453	0.30313	2.85354
0.935	0.254696	0.886889	0.287922	2.82614	0.265574	0.927453	0.30313	2.85354
0.945	0.202811	0.622536	0.211939	2.61252	0.125	0	0.1	2
0.955	0.135633	0.0863244	0.111845	2.06154	0.125	0	0.1	2
0.965	0.125212	0.000876645	0.100122	1.99905	0.125	0	0.1	2
0.975	0.125003	2.49528e-05	0.100003	2.00002	0.125	0	0.1	2
0.985	0.125	1.06077e-06	0.1	2	0.125	0	0.1	2
0.995	0.125	8.92804e-08	0.1	2	0.125	0	0.1	2
