x	rho	u	p	e	rho_E	u_E	p_E	e_E
0.0025	1	0.5	1	2.5	1	0.5	1	2.5
0.0075	1	0.5	1	2.5	1	0.5	1	2.5
0.0125	1	0.5	1	2.5	1	0.5	1	2.5
0.0175	1	0.5	1	2.5	1	0.5	1	2.5
0.0225	1	0.5	1	2.5	1	0.5	1	2.5
0.0275	1	0.5	1	2.5	1	0.5	1	2.5
0.0325	1	0.5	1	2.5	1	0.5	1	2.5
0.0375	1	0.5	1	2.5	1	0.5	1	2.5
0.0425	1	0.5	1	2.5	1	0.5	1	2.5
0.0475	1	0.5	1	2.5	1	0.5	1	2.5
0.0525	1	0.5	1	2.5	1	0.5	1	2.5
0.0575	1	0.5	1	2.5	1	0.5	1	2.5
0.0625	1	0.5	1	2.5	1	0.5	1	2.5
0.0675	1	0.5	1	2.5	1	0.5	1	2.5
0.0725	1	0.5	1	2.5	1	0.5	1	2.5
0.0775	1	0.5	1	2.5	1	0.5	1	2.5
0.0825	1	0.5	1	2.5	1	0.5	1	2.5
0.0875	1	0.5	1	2.5	1	0.5	1	2.5
0.0925	1	0.5	1	2.5	1	0.5	1	2.5
0.0975	1	0.5	1	2.5	1	0.5	1	2.5
0.1025	1	0.5	1	2.5	1	0.5	1	2.5
0.1075	1	0.5	1	2.5	1	0.5	1	2.5
0.1125	1	0.5	1	2.5	1	0.5	1	2.5
0.1175	1	0.5	1	2.5	1	0.5	1	2.5
0.1225	1	0.5	1	2.5	1	0.5	1	2.5
0.1275	1	0.5	1	2.5	1	0.5	1	2.5
0.1325	1	0.5	1	2.5	1	0.5	1	2.5
0.1375	1	0.5	1	2.5	1	0.5	1	2.5
0.1425	1	0.5	1	2.5	1	0.5	1	2.5
0.1475	1	0.5	1	2.5	1	0.5	1	2.5
0.1525	1	0.5	1	2.5	1	0.5	1	2.5
0.1575	1	0.5	1	2.5	1	0.5	1	2.5
0.1625	1	0.5	1	2.5	1	0.5	1	2.5
0.1675	1	0.5	1	2.5	1	0.5	1	2.5
0.1725	1	0.5	1	2.5	1	0.5	1	2.5
0.1775	1	0.5	1	2.5	1	0.5	1	2.5
0.1825	1	0.5	1	2.5	1	0.5	1	2.5
0.1875	1	0.5	1	2.5	1	0.5	1	2.5
0.1925	1	0.5	1	2.5	1	0.5	1	2.5
0.1975	1	0.5	1	2.5	1	0.5	1	2.5
0.2025	1	0.5	1	2.5	1	0.5	1	2.5
0.2075	1	0.5	1	2.5	1	0.5	1	2.5
0.2125	1	0.5	1	2.5	1	0.5	1	2.5
0.2175	1	0.5	1	2.5	1	0.5	1	2.5
0.2225	1	0.5	1	2.5	1	0.5	1	2.5
0.2275	1	0.5	1	2.5	1	0.5	1	2.5
0.2325	1	0.5	1	2.5	1	0.5	1	2.5
0.2375	1	0.5	1	2.5	1	0.5	1	2.5
0.2425	1	0.5	1	2.5	1	0.5	1	2.5
0.2475	1	0.5	1	2.5	1	0.5	1	2.5
0.2525	1	0.5	1	2.5	1	0.5	1	2.5
0.2575	1	0.5	1	2.5	1	0.5	1	2.5
0.2625	1	0.5	1	2.5	1	0.5	1	2.5
0.2675	1	0.5	1	2.5	1	0.5	1	2.5
0.2725	1	0.5	1	2.5	1	0.5	1	2.5
0.2775	1	0.5	1	2.5	1	0.5	1	2.5
0.2825	1	0.5	1	2.5	1	0.5	1	2.5
0.2875	1	0.5	1	2.5	1	0.5	1	2.5
0.2925	1	0.5	1	2.5	1	0.5	1	2.5
0.2975	1	0.5	1	2.5	1	0.5	1	2.5
0.3025	1	0.5	1	2.5	1	0.5	1	2.5
0.3075	1	0.5	1	2.5	1	0.5	1	2.5
0.3125	1	0.5	1	2.5	1	0.5	1	2.5
0.3175	1	0.5	1	2.5	1	0.5	1	2.5
0.3225	1	0.5	1	2.5	1	0.5	1	2.5
0.3275	1	0.5	1	2.5	1	0.5	1	2.5
0.3325	1	0.5	1	2.5	1	0.5	1	2.5
0.3375	1	0.5	1	2.5	1	0.5	1	2.5
0.3425	1	0.5	1	2.5	1	0.5	1	2.5
0.3475	1	0.5	1	2.5	1	0.5	1	2.5
0.3525	1	0.5	1	2.5	1	0.5	1	2.5
0.3575	1	0.5	1	2.5	1	0.5	1	2.5
0.3625	1	0.5	1	2.5	1	0.5	1	2.5
0.3675	1	0.5	1	2.5	1	0.5	1	2.5
0.3725	1	0.5	1	2.5	1	0.5	1	2.5
0.3775	1	0.5	1	2.5	1	0.5	1	2.5
0.3825	1	0.5	1	2.5	1	0.5	1	2.5
0.3875	1	0.5	1	2.5	1	0.5	1	2.5
0.3925	1	0.5	1	2.5	1	0.5	1	2.5
0.3975	1	0.5	1	2.5	1	0.5	1	2.5
0.4025	1	0.5	1	2.5	1	0.5	1	2.5
0.4075	1	0.5	1	2.5	1	0.5	1	2.5
0.4125	1	0.5	1	2.5	1	0.5	1	2.5
0.4175	1	0.5	1	2.5	1	0.5	1	2.5
0.4225	1	0.5	1	2.5	1	0.5	1	2.5
0.4275	1	0.5	1	2.5	1	0.5	1	2.5
0.4325	1	0.5	1	2.5	1	0.5	1	2.5
0.4375	1	0.5	1	2.5	1	0.5	1	2.5
0.4425	1	0.5	1	2.5	1	0.5	1	2.5
0.4475	1	0.5	1	2.5	1	0.5	1	2.5
0.4525	1	0.5	1	2.5	1	0.5	1	2.5
0.4575	1	0.5	1	2.5	1	0.5	1	2.5
0.4625	1	0.5	1	2.5	1	0.5	1	2.5
0.4675	1	0.5	1	2.5	1	0.5	1	2.5
0.4725	1	0.5	1	2.5	1	0.5	1	2.5
0.4775	1	0.5	1	2.5	1	0.5	1	2.5
0.4825	1	0.5	1	2.5	1	0.5	1	2.5
0.4875	1	0.5	1	2.5	1	0.5	1	2.5
