x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.785	5.77717	19.5357	453.255	196.141	1	0	0.01	0.025
0.795	5.19385	17.7924	363.547	174.989	1	0	0.01	0.025
0.805	1.94763	8.12041	73.2058	93.9676	1	0	0.01	0.025
0.815	1.00443	0.00691246	0.0150468	0.0374509	1	0	0.01	0.025
0.825	1	3.00237e-10	0.01	0.025	1	0	0.01	0.025
0.835	1	8.38237e-19	0.01	0.025	1	0	0.01	0.025
0.845	1	0	0.01	0.025	1	0	0.01	0.025
0.855	1	0	0.01	0.025	1	0	0.01	0.025
0.865	1	0	0.01	0.025	1	0	0.01	0.025
0.875	1	0	0.01	0.025	1	0	0.01	0.025
0.885	1	0	0.01	0.025	1	0	0.01	0.025
0.895	1	0	0.01	0.025	1	0	0.01	0.025
0.905	1	0	0.01	0.025	1	0	0.01	0.025
0.915	1	0	0.01	0.025	1	0	0.01	0.025
0.925	1	0	0.01	0.025	1	0	0.01	0.025
0.935	1	0	0.01	0.025	1	0	0.01	0.025
0.945	1	0	0.01	0.025	1	0	0.01	0.025
0.955	1	0	0.01	0.025	1	0	0.01	0.025
0.965	1	0	0.01	0.025	1	0	0.01	0.025
0.975	1	0	0.01	0.025	1	0	0.01	0.025
0.985	1	0	0.01	0.025	1	0	0.01	0.025
0.995	1	0	0.01	0.025	1	0	0.01	0.025
