x	rho	u	p	e
0.08525	0.968228	0.0380781	0.955805	2.46792
0.08575	0.965194	0.0417669	0.951614	2.46483
0.08625	0.96211	0.0455247	0.947361	2.46167
0.08675	0.958988	0.04934	0.943059	2.45848
0.08725	0.955834	0.0532039	0.93872	2.45524
0.08775	0.952655	0.0571093	0.934352	2.45197
0.08825	0.949454	0.0610511	0.92996	2.44867
0.08875	0.946235	0.0650268	0.925549	2.44535
0.08925	0.942999	0.0690347	0.92112	2.442
0.08975	0.939755	0.0730644	0.916687	2.43863
0.09025	0.936508	0.0771072	0.912255	2.43526
0.09075	0.93326	0.0811622	0.90783	2.43188
0.09125	0.930014	0.0852272	0.903412	2.42849
0.09175	0.92677	0.0893011	0.899003	2.4251
0.09225	0.923528	0.0933829	0.894604	2.4217
0.09275	0.92029	0.0974714	0.890216	2.4183
0.09325	0.917057	0.101566	0.88584	2.4149
0.09375	0.913828	0.105666	0.881477	2.4115
0.09425	0.910605	0.10977	0.877127	2.40809
0.09475	0.907388	0.113879	0.872792	2.40468
0.09525	0.904176	0.117992	0.868471	2.40127
0.09575	0.900972	0.122107	0.864164	2.39787
0.09625	0.897774	0.126226	0.859873	2.39446
0.09675	0.894583	0.130347	0.855598	2.39105
0.09725	0.8914	0.134471	0.851339	2.38764
0.09775	0.888224	0.138597	0.847095	2.38424
0.09825	0.885056	0.142724	0.842868	2.38083
0.09875	0.881895	0.146854	0.838657	2.37743
0.09925	0.878742	0.150984	0.834463	2.37403
0.09975	0.875598	0.155117	0.830285	2.37062
0.10025	0.872461	0.15925	0.826124	2.36722
0.10075	0.869333	0.163384	0.82198	2.36382
0.10125	0.866212	0.16752	0.817852	2.36043
0.10175	0.8631	0.171656	0.813742	2.35703
0.10225	0.859997	0.175794	0.809648	2.35364
0.10275	0.856901	0.179932	0.805571	2.35024
0.10325	0.853815	0.18407	0.801511	2.34685
0.10375	0.850736	0.18821	0.797468	2.34347
0.10425	0.847666	0.19235	0.793442	2.34008
0.10475	0.844605	0.19649	0.789433	2.3367
0.10525	0.841551	0.200631	0.785441	2.33331
0.10575	0.838507	0.204772	0.781466	2.32993
0.10625	0.835471	0.208914	0.777508	2.32655
0.10675	0.832443	0.213057	0.773566	2.32318
0.10725	0.829424	0.217199	0.769641	2.31981
0.10775	0.826414	0.221342	0.765733	2.31643
0.10825	0.823412	0.225485	0.761842	2.31306
0.10875	0.820418	0.229629	0.757967	2.3097
0.10925	0.817434	0.233773	0.754109	2.30633
0.10975	0.814457	0.237917	0.750268	2.30297
0.11025	0.811489	0.242061	0.746443	2.29961
0.11075	0.80853	0.246206	0.742635	2.29625
0.11125	0.805579	0.25035	0.738843	2.29289
0.11175	0.802636	0.254495	0.735068	2.28954
0.11225	0.799702	0.25864	0.731309	2.28619
0.11275	0.796777	0.262786	0.727566	2.28284
0.11325	0.79386	0.266931	0.72384	2.27949
0.11375	0.790951	0.271077	0.72013	2.27615
0.11425	0.788051	0.275223	0.716436	2.27281
0.11475	0.785159	0.279368	0.712758	2.26947
0.11525	0.782276	0.283514	0.709096	2.26613
0.11575	0.779401	0.287661	0.70545	2.2628
0.11625	0.776534	0.291807	0.70182	2.25946
0.11675	0.773676	0.295953	0.698207	2.25613
0.11725	0.770826	0.3001	0.694609	2.25281
0.11775	0.767985	0.304247	0.691026	2.24948
0.11825	0.765151	0.308393	0.68746	2.24616
0.11875	0.762326	0.31254	0.683909	2.24284
0.11925	0.75951	0.316687	0.680374	2.23952
0.11975	0.756701	0.320834	0.676854	2.2362
0.12025	0.753901	0.324982	0.67335	2.23289
0.12075	0.751109	0.329129	0.669862	2.22958
0.12125	0.748325	0.333276	0.666389	2.22627
0.12175	0.74555	0.337424	0.662931	2.22296
0.12225	0.742782	0.341571	0.659489	2.21966
0.12275	0.740023	0.345719	0.656062	2.21636
0.12325	0.737272	0.349866	0.65265	2.21306
0.12375	0.734529	0.354014	0.649253	2.20976
0.12425	0.731795	0.358162	0.645871	2.20646
0.12475	0.729068	0.36231	0.642505	2.20317
0.12525	0.726349	0.366458	0.639153	2.19988
0.12575	0.723639	0.370606	0.635817	2.1966
0.12625	0.720936	0.374754	0.632495	2.19331
0.12675	0.718242	0.378902	0.629188	2.19003
0.12725	0.715556	0.383051	0.625896	2.18675
0.12775	0.712877	0.387199	0.622618	2.18347
0.12825	0.710207	0.391347	0.619356	2.18019
0.12875	0.707544	0.395496	0.616108	2.17692
0.12925	0.70489	0.399644	0.612874	2.17365
0.12975	0.702243	0.403793	0.609655	2.17038
0.13025	0.699605	0.407941	0.60645	2.16712
0.13075	0.696974	0.41209	0.60326	2.16385
0.13125	0.694351	0.416239	0.600084	2.16059
0.13175	0.691736	0.420387	0.596923	2.15734
0.13225	0.689129	0.424536	0.593776	2.15408
0.13275	0.68653	0.428685	0.590643	2.15083
0.13325	0.683939	0.432834	0.587524	2.14757
0.13375	0.681355	0.436983	0.584419	2.14433
0.13425	0.678779	0.441132	0.581328	2.14108
0.13475	0.676211	0.445281	0.578251	2.13784
0.13525	0.673651	0.44943	0.575188	2.13459
0.13575	0.671098	0.453579	0.572139	2.13136
0.13625	0.668553	0.457728	0.569104	2.12812
0.13675	0.666016	0.461877	0.566083	2.12488
0.13725	0.663487	0.466026	0.563075	2.12165
0.13775	0.660965	0.470176	0.560082	2.11842
0.13825	0.658451	0.474325	0.557101	2.1152
0.13875	0.655944	0.478474	0.554135	2.11197
0.13925	0.653445	0.482623	0.551181	2.10875
0.13975	0.650954	0.486773	0.548242	2.10553
0.14025	0.64847	0.490922	0.545316	2.10231
0.14075	0.645994	0.495071	0.542403	2.0991
0.14125	0.643526	0.499221	0.539503	2.09589
0.14175	0.641065	0.50337	0.536617	2.09268
0.14225	0.638612	0.507519	0.533744	2.08947
0.14275	0.636166	0.511669	0.530884	2.08627
0.14325	0.633727	0.515818	0.528038	2.08306
0.14375	0.631296	0.519967	0.525204	2.07986
0.14425	0.628873	0.524117	0.522384	2.07667
0.14475	0.626457	0.528266	0.519576	2.07347
0.14525	0.624048	0.532415	0.516782	2.07028
0.14575	0.621647	0.536565	0.514	2.06709
0.14625	0.619253	0.540714	0.511232	2.0639
0.14675	0.616867	0.544863	0.508476	2.06072
0.14725	0.614488	0.549012	0.505732	2.05754
0.14775	0.612117	0.553161	0.503002	2.05436
0.14825	0.609752	0.557311	0.500284	2.05118
0.14875	0.607395	0.56146	0.497579	2.048
0.14925	0.605046	0.565609	0.494886	2.04483
0.14975	0.602704	0.569758	0.492206	2.04166
0.15025	0.600369	0.573907	0.489539	2.03849
0.15075	0.598041	0.578056	0.486884	2.03533
0.15125	0.595721	0.582204	0.484241	2.03217
0.15175	0.593407	0.586353	0.481611	2.02901
0.15225	0.591101	0.590502	0.478993	2.02585
0.15275	0.588803	0.59465	0.476387	2.02269
0.15325	0.586511	0.598799	0.473793	2.01954
0.15375	0.584227	0.602947	0.471212	2.01639
0.15425	0.58195	0.607095	0.468643	2.01324
0.15475	0.57968	0.611243	0.466085	2.0101
0.15525	0.577417	0.615391	0.46354	2.00696
0.15575	0.575161	0.619539	0.461007	2.00382
0.15625	0.572913	0.623687	0.458486	2.00068
0.15675	0.570671	0.627834	0.455977	1.99755
0.15725	0.568437	0.631982	0.453479	1.99441
0.15775	0.56621	0.636129	0.450994	1.99128
0.15825	0.56399	0.640276	0.44852	1.98816
0.15875	0.561777	0.644423	0.446058	1.98503
0.15925	0.559571	0.648569	0.443608	1.98191
0.15975	0.557372	0.652716	0.441169	1.97879
0.16025	0.55518	0.656862	0.438743	1.97568
0.16075	0.552995	0.661008	0.436327	1.97256
0.16125	0.550817	0.665153	0.433923	1.96945
0.16175	0.548647	0.669299	0.431531	1.96634
0.16225	0.546483	0.673444	0.42915	1.96324
0.16275	0.544326	0.677588	0.426781	1.96014
0.16325	0.542176	0.681733	0.424423	1.95704
0.16375	0.540033	0.685877	0.422077	1.95394
0.16425	0.537898	0.69002	0.419742	1.95084
0.16475	0.535769	0.694163	0.417418	1.94775
0.16525	0.533647	0.698306	0.415105	1.94466
0.16575	0.531532	0.702449	0.412804	1.94158
0.16625	0.529424	0.70659	0.410514	1.93849
0.16675	0.527323	0.710732	0.408235	1.93541
0.16725	0.525229	0.714873	0.405967	1.93233
0.16775	0.523142	0.719013	0.40371	1.92926
0.16825	0.521062	0.723152	0.401465	1.92619
0.16875	0.518988	0.727291	0.39923	1.92312
0.16925	0.516922	0.731429	0.397007	1.92005
0.16975	0.514863	0.735567	0.394794	1.91699
0.17025	0.51281	0.739704	0.392593	1.91393
0.17075	0.510765	0.74384	0.390402	1.91087
0.17125	0.508727	0.747975	0.388223	1.90782
0.17175	0.506695	0.752109	0.386054	1.90477
0.17225	0.504671	0.756242	0.383897	1.90172
0.17275	0.502653	0.760373	0.38175	1.89867
0.17325	0.500643	0.764504	0.379614	1.89563
0.17375	0.498639	0.768634	0.377489	1.89259
0.17425	0.496643	0.772762	0.375375	1.88956
0.17475	0.494654	0.776888	0.373272	1.88653
0.17525	0.492672	0.781013	0.37118	1.8835
0.17575	0.490697	0.785137	0.369098	1.88048
0.17625	0.488729	0.789258	0.367028	1.87746
0.17675	0.486769	0.793378	0.364969	1.87444
0.17725	0.484816	0.797495	0.36292	1.87143
0.17775	0.482871	0.80161	0.360883	1.86842
0.17825	0.480932	0.805722	0.358857	1.86542
0.17875	0.479002	0.809831	0.356842	1.86242
0.17925	0.477079	0.813937	0.354838	1.85943
0.17975	0.475164	0.818039	0.352846	1.85644
0.18025	0.473258	0.822137	0.350865	1.85346
0.18075	0.471359	0.82623	0.348896	1.85048
0.18125	0.469469	0.830319	0.346939	1.84751
0.18175	0.467588	0.834401	0.344995	1.84454
0.18225	0.465716	0.838476	0.343063	1.84159
0.18275	0.463854	0.842543	0.341144	1.83864
0.18325	0.462002	0.846601	0.339238	1.8357
0.18375	0.460161	0.850647	0.337348	1.83277
0.18425	0.458333	0.854679	0.335473	1.82985
0.18475	0.456518	0.858693	0.333615	1.82695
0.18525	0.45472	0.862684	0.331776	1.82407
0.18575	0.452941	0.866644	0.329961	1.82121
0.18625	0.451186	0.870562	0.328172	1.81839
0.18675	0.449463	0.874422	0.326419	1.81561
0.18725	0.447782	0.8782	0.324711	1.81289
0.18775	0.446156	0.881862	0.323062	1.81025
0.18825	0.444608	0.885362	0.321493	1.80774
0.18875	0.443161	0.88864	0.32003	1.80538
0.18925	0.441847	0.891625	0.318702	1.80324
0.18975	0.440697	0.894243	0.317541	1.80136
0.19025	0.439739	0.896427	0.316576	1.79979
0.19075	0.438989	0.89814	0.31582	1.79856
0.19125	0.438445	0.899386	0.315272	1.79767
0.19175	0.438083	0.900214	0.314908	1.79708
0.19225	0.437866	0.900711	0.31469	1.79672
0.19275	0.43775	0.900976	0.314573	1.79653
0.19325	0.437696	0.9011	0.314519	1.79644
0.19375	0.437675	0.901148	0.314498	1.79641
0.19425	0.437669	0.901162	0.314491	1.7964
0.19475	0.437668	0.901165	0.31449	1.7964
0.19525	0.437669	0.901163	0.314491	1.7964
0.19575	0.43767	0.90116	0.314492	1.7964
0.19625	0.43767	0.901159	0.314493	1.7964
0.19675	0.43767	0.901159	0.314493	1.7964
0.19725	0.43767	0.901159	0.314493	1.7964
0.19775	0.437671	0.901157	0.314494	1.7964
0.19825	0.437672	0.901154	0.314495	1.79641
0.19875	0.437674	0.90115	0.314497	1.79641
0.19925	0.437676	0.901146	0.314499	1.79641
0.19975	0.437678	0.901141	0.314501	1.79642
0.20025	0.437679	0.901138	0.314502	1.79642
0.20075	0.437681	0.901134	0.314504	1.79642
0.20125	0.437682	0.901132	0.314505	1.79642
0.20175	0.437683	0.90113	0.314506	1.79643
0.20225	0.437683	0.901129	0.314506	1.79643
0.20275	0.437683	0.901128	0.314507	1.79643
0.20325	0.437684	0.901127	0.314507	1.79643
0.20375	0.437684	0.901127	0.314507	1.79643
0.20425	0.437684	0.901127	0.314507	1.79643
0.20475	0.437684	0.901127	0.314507	1.79643
0.20525	0.437684	0.901127	0.314507	1.79643
0.20575	0.437684	0.901127	0.314507	1.79643
0.20625	0.437684	0.901127	0.314507	1.79643
0.20675	0.437684	0.901126	0.314507	1.79643
0.20725	0.437684	0.901126	0.314508	1.79643
0.20775	0.437684	0.901125	0.314508	1.79643
0.20825	0.437685	0.901124	0.314508	1.79643
0.20875	0.437685	0.901123	0.314509	1.79643
0.20925	0.437686	0.901122	0.314509	1.79643
0.20975	0.437686	0.90112	0.31451	1.79644
0.21025	0.437686	0.901119	0.31451	1.79644
0.21075	0.437687	0.901119	0.314511	1.79644
0.21125	0.437687	0.901118	0.314511	1.79644
0.21175	0.437687	0.901117	0.314512	1.79644
0.21225	0.437688	0.901115	0.314512	1.79644
0.21275	0.437689	0.901113	0.314513	1.79644
0.21325	0.437689	0.901111	0.314514	1.79644
0.21375	0.43769	0.901109	0.314515	1.79645
0.21425	0.437691	0.901108	0.314515	1.79645
0.21475	0.437691	0.901106	0.314516	1.79645
0.21525	0.437692	0.901105	0.314517	1.79645
0.21575	0.437692	0.901104	0.314517	1.79645
0.21625	0.437693	0.901103	0.314518	1.79645
0.21675	0.437693	0.901102	0.314518	1.79645
0.21725	0.437693	0.901102	0.314518	1.79645
0.21775	0.437693	0.901101	0.314518	1.79645
0.21825	0.437693	0.901101	0.314518	1.79645
0.21875	0.437693	0.901101	0.314518	1.79646
0.21925	0.437693	0.901101	0.314519	1.79646
0.21975	0.437693	0.901101	0.314519	1.79646
0.22025	0.437693	0.901101	0.314519	1.79646
0.22075	0.437693	0.9011	0.314519	1.79646
0.22125	0.437693	0.9011	0.314519	1.79646
0.22175	0.437693	0.9011	0.314519	1.79646
0.22225	0.437693	0.9011	0.314519	1.79646
0.22275	0.437693	0.901099	0.314519	1.79646
0.22325	0.437693	0.901099	0.314519	1.79646
0.22375	0.437693	0.9011	0.314519	1.79646
0.22425	0.437693	0.9011	0.314519	1.79646
0.22475	0.437692	0.9011	0.314519	1.79646
0.22525	0.437692	0.9011	0.314519	1.79646
0.22575	0.437692	0.9011	0.314519	1.79646
0.22625	0.437692	0.901101	0.314519	1.79646
0.22675	0.437691	0.901102	0.314518	1.79646
0.22725	0.437691	0.901103	0.314518	1.79646
0.22775	0.43769	0.901103	0.314517	1.79646
0.22825	0.43769	0.901104	0.314517	1.79646
0.22875	0.43769	0.901104	0.314517	1.79646
0.22925	0.43769	0.901104	0.314517	1.79646
0.22975	0.437689	0.901104	0.314517	1.79646
0.23025	0.437689	0.901104	0.314517	1.79646
0.23075	0.437689	0.901104	0.314517	1.79646
0.23125	0.437689	0.901104	0.314517	1.79646
0.23175	0.437689	0.901104	0.314517	1.79647
0.23225	0.437689	0.901103	0.314517	1.79647
0.23275	0.437689	0.901103	0.314517	1.79647
0.23325	0.437689	0.901103	0.314517	1.79647
0.23375	0.437688	0.901105	0.314517	1.79647
0.23425	0.437687	0.901107	0.314516	1.79647
0.23475	0.437685	0.90111	0.314515	1.79646
0.23525	0.437684	0.901112	0.314514	1.79646
0.23575	0.437684	0.901113	0.314513	1.79646
0.23625	0.437683	0.901113	0.314513	1.79647
0.23675	0.437683	0.901112	0.314513	1.79647
0.23725	0.437683	0.901112	0.314514	1.79647
0.23775	0.437683	0.901112	0.314513	1.79647
0.23825	0.437683	0.901112	0.314513	1.79647
0.23875	0.437683	0.901112	0.314513	1.79647
0.23925	0.437683	0.901112	0.314514	1.79647
0.23975	0.437682	0.901111	0.314514	1.79647
0.24025	0.437682	0.901112	0.314513	1.79647
0.24075	0.437682	0.901112	0.314514	1.79647
0.24125	0.437682	0.901111	0.314514	1.79647
0.24175	0.437682	0.901111	0.314514	1.79648
0.24225	0.437682	0.90111	0.314514	1.79648
0.24275	0.437682	0.90111	0.314515	1.79648
0.24325	0.437683	0.901107	0.314516	1.79648
0.24375	0.437683	0.901105	0.314517	1.79649
0.24425	0.437684	0.901103	0.314517	1.79649
0.24475	0.437684	0.901102	0.314518	1.79649
0.24525	0.437684	0.901102	0.314518	1.79649
0.24575	0.437684	0.9011	0.314519	1.79649
