x	rho	u	p	e	rho_E	u_E	p_E	e_E
0.27375	1	0.5	1	2.5	1	0.5	1	2.5
0.27625	1	0.5	1	2.5	1	0.5	1	2.5
0.27875	1	0.5	1	2.5	1	0.5	1	2.5
0.28125	1	0.5	1	2.5	1	0.5	1	2.5
0.28375	1	0.5	1	2.5	1	0.5	1	2.5
0.28625	1	0.5	1	2.5	1	0.5	1	2.5
0.28875	1	0.5	1	2.5	1	0.5	1	2.5
0.29125	1	0.5	1	2.5	1	0.5	1	2.5
0.29375	1	0.5	1	2.5	1	0.5	1	2.5
0.29625	1	0.5	1	2.5	1	0.5	1	2.5
0.29875	1	0.5	1	2.5	1	0.5	1	2.5
0.30125	1	0.5	1	2.5	1	0.5	1	2.5
0.30375	1	0.5	1	2.5	1	0.5	1	2.5
0.30625	1	0.5	1	2.5	1	0.5	1	2.5
0.30875	1	0.5	1	2.5	1	0.5	1	2.5
0.31125	1	0.5	1	2.5	1	0.5	1	2.5
0.31375	1	0.5	1	2.5	1	0.5	1	2.5
0.31625	1	0.5	1	2.5	1	0.5	1	2.5
0.31875	1	0.5	1	2.5	1	0.5	1	2.5
0.32125	1	0.5	1	2.5	1	0.5	1	2.5
0.32375	1	0.5	1	2.5	1	0.5	1	2.5
0.32625	1	0.5	1	2.5	1	0.5	1	2.5
0.32875	1	0.5	1	2.5	1	0.5	1	2.5
0.33125	1	0.5	1	2.5	1	0.5	1	2.5
0.33375	1	0.5	1	2.5	1	0.5	1	2.5
0.33625	1	0.5	1	2.5	1	0.5	1	2.5
0.33875	1	0.5	1	2.5	1	0.5	1	2.5
0.34125	1	0.5	1	2.5	1	0.5	1	2.5
0.34375	1	0.5	1	2.5	1	0.5	1	2.5
0.34625	1	0.5	1	2.5	1	0.5	1	2.5
0.34875	1	0.5	1	2.5	1	0.5	1	2.5
0.35125	1	0.5	1	2.5	1	0.5	1	2.5
0.35375	1	0.5	1	2.5	1	0.5	1	2.5
0.35625	1	0.5	1	2.5	1	0.5	1	2.5
0.35875	1	0.5	1	2.5	1	0.5	1	2.5
0.36125	1	0.5	1	2.5	1	0.5	1	2.5
0.36375	1	0.5	1	2.5	1	0.5	1	2.5
0.36625	1	0.5	1	2.5	1	0.5	1	2.5
0.36875	1	0.5	1	2.5	1	0.5	1	2.5
0.37125	1	0.5	1	2.5	1	0.5	1	2.5
0.37375	1	0.5	1	2.5	1	0.5	1	2.5
0.37625	1	0.5	1	2.5	1	0.5	1	2.5
0.37875	1	0.5	1	2.5	1	0.5	1	2.5
0.38125	1	0.5	1	2.5	1	0.5	1	2.5
0.38375	1	0.5	1	2.5	1	0.5	1	2.5
0.38625	1	0.5	1	2.5	1	0.5	1	2.5
0.38875	1	0.5	1	2.5	1	0.5	1	2.5
0.39125	1	0.5	1	2.5	1	0.5	1	2.5
0.39375	1	0.5	1	2.5	1	0.5	1	2.5
0.39625	1	0.5	1	2.5	1	0.5	1	2.5
0.39875	1	0.5	1	2.5	1	0.5	1	2.5
0.40125	1	0.5	1	2.5	1	0.5	1	2.5
0.40375	1	0.5	1	2.5	1	0.5	1	2.5
0.40625	1	0.5	1	2.5	1	0.5	1	2.5
0.40875	1	0.5	1	2.5	1	0.5	1	2.5
0.41125	1	0.5	1	2.5	1	0.5	1	2.5
0.41375	1	0.5	1	2.5	1	0.5	1	2.5
0.41625	1	0.5	1	2.5	1	0.5	1	2.5
0.41875	1	0.5	1	2.5	1	0.5	1	2.5
0.42125	1	0.5	1	2.5	1	0.5	1	2.5
0.42375	1	0.5	1	2.5	1	0.5	1	2.5
0.42625	1	0.5	1	2.5	1	0.5	1	2.5
0.42875	1	0.5	1	2.5	1	0.5	1	2.5
0.43125	1	0.5	1	2.5	1	0.5	1	2.5
0.43375	1	0.5	1	2.5	1	0.5	1	2.5
0.43625	1	0.5	1	2.5	1	0.5	1	2.5
0.43875	1	0.5	1	2.5	1	0.5	1	2.5
0.44125	1	0.5	1	2.5	1	0.5	1	2.5
0.44375	1	0.5	1	2.5	1	0.5	1	2.5
0.44625	1	0.5	1	2.5	1	0.5	1	2.5
0.44875	1	0.5	1	2.5	1	0.5	1	2.5
0.45125	1	0.5	1	2.5	1	0.5	1	2.5
0.45375	1	0.5	1	2.5	1	0.5	1	2.5
0.45625	1	0.5	1	2.5	1	0.5	1	2.5
0.45875	1	0.5	1	2.5	1	0.5	1	2.5
0.46125	1	0.5	1	2.5	1	0.5	1	2.5
0.46375	1	0.5	1	2.5	1	0.5	1	2.5
0.46625	1	0.5	1	2.5	1	0.5	1	2.5
0.46875	1	0.5	1	2.5	1	0.5	1	2.5
0.47125	1	0.5	1	2.5	1	0.5	1	2.5
0.47375	1	0.5	1	2.5	1	0.5	1	2.5
0.47625	1	0.5	1	2.5	1	0.5	1	2.5
0.47875	1	0.5	1	2.5	1	0.5	1	2.5
0.48125	1	0.5	1	2.5	1	0.5	1	2.5
0.48375	1	0.5	1	2.5	1	0.5	1	2.5
