x	rho	u	p	e	rho_Ex	u_Ex	p_Ex	e_Ex
0.00125	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.00375	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.00625	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.00875	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.01125	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.01375	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.01625	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.01875	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.02125	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.02375	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.02625	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.02875	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.03125	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.03375	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.03625	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.03875	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.04125	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.04375	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.04625	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.04875	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.05125	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.05375	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.05625	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.05875	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.06125	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.06375	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
